essay_id,grade,essay_topic,essay_text,dyslexic_flag,richness_5,organization_6,technical_3,total_14
G3_001,3,අම්මා ,"මගෙ අම්මාගේ නම මාරි. අම්මා මට පාසල් වැඩ කියා දෙයි. ඇය පාන්දරින්ම අවදි වී මා හට පාසල් ගෙන යාම සදහා ආහාර පිළියෙල කර දෙයි. අම්මා මා පාසල් අවසන් වී ගෙදර එන තුරු මඟ බලා සිටියි. අම්මා හරි ආදරෙයි මමත් අම්මාට ආදරෙයි.
",FALSE,4,5,2,11
G3_002,3,ගං වතුර,"තදින් වහින කොට ඇළ දොළ වෙල් පිරෙනවා. ඒ වතුර ගඟට යන කොට ගඟ පිරිලා උතුරනවා. ගඟේ වතුර දෙගොඩ තලා යනකොට ගංවතුර එනවා. ඉස්සර වෙලා වෙල් යට වෙනවා.
පහත් බිම් යට වෙනවා.
පාරවල් යට වෙනවා.
පාරවල්වල වාහන ගමන් නවතිනවා.
පාසල් වැහෙනවා.
ගෙවල් දොරවල් වතුරට යට වෙනවා.
යට වු ගෙවල්වල අය පන්සල්වලට පාසල් වලට එක් රොක් වෙනවා. බෝට්ටු වලින් යටවු ගෙවල්වල මිනිස්සුන්ට ආණ්ඩුවෙන් කෑම පාර්සල් දෙනවා. සමිති සමාගම් වලින් ද කෑම බීම සපයනවා.
කුඹුරු ගං වතුරට යට වී කුණු වෙනවා.
ගව, එළු, කුකුලු සතුන්ගේ
එළවළු කොටුද යට වෙනවා.
ලෙඩ දුක් ඇති වෙනවා.
කොටු යට වෙනවා.
ගං වතුර බැස ගිය විට ඉඩම් සරුවෙනවා.
ළිංවල වතුර අපිරිසිදු වෙනවා.
බොහෝ දෙනකුට පාඩු සිදු වෙනවා.
සමහරු කෙහෙල් කොට වලින් පාරු සාදාගෙන ගංවතුරේ සවාරි යනවා.
",FALSE,5,5,2,12
G3_003,3,ජලය ,"ජලය හැම කෙනෙකුටම නැතිවම බැරිය. ආහාර නැතුව අපට දින කිහිපයක් සිටින්නට පුලුවන. ජලය නැතිව දවසක්වත් සිටිය නොහැක. බීමට නෑමට රෙදි සේදීමට ජලය ඕනෑ වෙනවා. කෑම පිසිමට ද ජලය ඕනෑ වෙනවා.
සතා සිව්පාවටත් බීමට ජලය ඕනෑ වෙනවා. ගස් කොළන් වලටත් ජලය නැතුව බැරිය. ගොවිතැන් වලටද ජලය ඕනෑ වෙනවා. ජලය නැතිව කුඹුරු වගා කරන්ට බැහැ.
ගෙදර මල් පොච්චි වලටත් ජලය ඕනෑ.
ගෙදර වත්තේ කුරුල්ලන්ගේ බේසමටත් වතුර නැතිව බැහැ. කුඩුවේ සිටින බලු පැටවාටත් ජලය ඕනෑ.
අප්පච්චීගේ කාරෙක සෝදන්නට ජලය භොගක් ඕනෑ
අප්පච්චීගේ එළවළු කොටුවටද ජලය හැමදාම ඕනෑ.
ජලය නැති නම් මල් වේලෙනවා.
ජලය නැති වෙන කොට විදුලියත් නැති වෙනවා. කර්මාන්තශාලා වලටද ජලය ඕනෑ.
ජලය මදි වෙන කොට කම්හල් වහනවා.
කැලැවේ සතුන්ට ජලය නැති වෙන කොට උන් මැරෙනවා. ජලය නැතිදාට ලෝකයම විනාස්‍යයි.
ඒ නිසා ජලය පිරි මහ ගෙන පාවිච්චි කරන්ට ඕනෑ. හුඟ දෙනෙක් ජලය නාස්ති කරනවා.
",FALSE,5,5,3,13
G3_004,3,කිරි මාමා,"
කිරි මාමා පාන්දරට අප අවදි කරනවා.
හිමිදිරි පාන්දර ගේට්ටුව ලඟට විත් සීනුව ගහනවා.
අම්මා ගේට්ටුව ළඟට
ගොස් කිරි බෝතලය ගන්නවා.
මම උදේන්ම කිරි වීදුරුවක් බොනවා.
උදේට කිරි බීවාම ඇඟට සනීපයක් දැනෙනවා.
එළකිරි හොඳ ආහාරයක් කියලා ගුරුතුමිය අපිට කියා දීලා තියෙනවා.
කිරි බොන කොට ළපටි අපේ ඇඟ පත වැඩෙනවා.
බොහෝ ලෙඩ රෝග වලින් මා බේරෙන්නේ කිරි බොන හින්දයි අම්මා කියනවා. උදේට කිරි ටිකක් බී ධාන්ය වර්ගයක් කෑවාම හොඳ පෝෂණයක් ඇඟට ලැබෙනවා. එතකොට හොඳ නිරෝගී ශරීරයක් ලැබෙනවා.
නිරෝගී ශරීරයක් ලැබීම වාසනාවකි.
මන්ද පෝෂණය මන්ද මානසිකත්වයට හේතුවකි.
දිනපතා කිරි බීමෙන් මන්ද පෝෂණය හා මන්ද මානසිකත්වය නැති වෙනවා.
පුළුවන්නම් උදේට හැම කෙනෙක්ම කිරි වීදුරුවක් බොන එක හොදයි.
එළකිරි ලැබෙන්නේ එළදෙන ගෙනි.
එළදෙනට කිරි අම්මා කියන්නේ ඒ නිසයි.
",FALSE,4,5,3,12
G3_005,3,මගේ නිවස,"මගේ නිවස කියන්නේ මා සහ මාගේ පවුල සඳහා ආරක්ෂිත, සුඛෝපභෝගී සහ ආදරණීය ස්ථානයකි. අපේ නිවසට පිවිසෙද්දී මම සුවපහසු බවක් දැනේ. නිවසේ වාතාශ්‍රිත කාමර, අංග සම්පූර්ණ මුළුතැන්ගෙය සහ සුවදායී පිටත උයන තිබේ. මගේ නිවසේ වටපිටාව පිරිසිදු සහ සෞඛ්‍ය සම්පන්නය. පවුලේ සැමම එකිනෙකාට ආදරය සහ සහය දක්වයි. නිවස තුළ අපි එක්ව කතා කරමින්, ආහාර පිසීමේ සහ වැඩසටහන් සම්බන්ධ කටයුතු කරනවා. මගේ නිවස මට ආරක්ෂාව, සතුට සහ සන්සුන් බව ලබා දෙයි. පවුලේ අය මට ආදරය, මනාසික සහ ආචාරශීලී ආචාර පිළිවෙළ ඉගැන්වීමේදී උපකාර කරනවා. නිවසේ ආරක්ෂිත වටපිටාව මට නිදි සහ නිහතමානීභාවය ලබා දෙයි. මම මගේ නිවස පරිසර හිතකාමීව රැක ගැනීමට උත්සාහ කරනවා. අපේ උයන, ගස් සහ ගඟවල් පිරිසිදු තබා, අපද්‍රව්‍ය නොහරිනු මෙන් කටයුතු කරමි. මගේ නිවස මට ජීවිතයේ සතුට, ආරක්ෂාව සහ ආදරය ලබා දෙන මූලික ස්ථානයක් බවට පත්ව ඇත. නිවසේ වටපිටාව පවුලේ සියලු අයගේ සතුට, සෞඛ්‍යය සහ එකමුතු බව සඳහා වැදගත් ය. ඒ නිසා මම මගේ නිවසේ සෑම කාමරයක්, උයනක් සහ වටපිටාවක් ආදරයෙන් රැක ගැනීමට කටයුතු කරමි.",FALSE,4,5,3,12
G3_006,3,පිරිසිඳුකම ,"පිරිසිඳුකම නැති නිසා ලෙඩ රෝග සෑදෙනවා. අපේ ඇග පත පිරිසිඳු නැත්තම් ලෙඩ වැඩිය. අපේ ඇදුම් පිරිසිඳු නැත්තම් ඒත් ලෙඩය. අපිරිසිඳු ඇදුම් අදින කොට අපව කාටත් එපා අපිරිසිඳු වතුර බොනකොටත් ලෙඩ රෝග පාචනය, අතීසාරය අපිරිසිඳු වතුරෙන් බෝ වෙනවා. කෑම අපිරිසිඳු නම් අසනීප හැදෙනවා.
පිරිසිඳුකම හැම දේකම තියෙන්න ඕනෑ.
ගෙවල් දොරවල් පිරිසිඳු වෙන්න ඕනෑ.
බෝ වෙනවා.
ගෙවත්ත පිරිසිඳුව තබා ගන්න ඕනෑ. මදුරුවෝ ඇති වෙන්නේ අපිරිසිඳුකම නිසයි. අපිරිසිඳුකමට හේතුව ටින් කබල්, තැබිලි කෝම්බ ආදියයි. ඒවායේ මදුරුවෝ ඇති වෙනවා.
අප කන හැම දේම පිරිසිඳු වෙන්න ඕනෑ. අපේ දත් නියපොතු පිරිසිඳු වෙන්නම ඕනෑ ඒවා ලෙඩ ඇති කරන තැන්ය.
දවසට දෙවරක් දත් මදින්න ඕනෑ.
එවිට දත් පිරිසිඳු වෙනවා.
ගෙදර කන
බොන පිඟන් කෝප්ප පිරිසිඳු වෙන්නම ඕනෑ
නිදා ගන්න කොට්ට මෙට්ට ඇද ඇතිරිලිද පිරිසිදු වෙන්නම ඕනෑ.
පිරිසිඳුකම නැති තැන පිළිකුල ඇති වෙනවා.
දත් මැද නියපොතු කපා පිරිසිඳු ඇදුම් අදින ළමයාට කවුරුත් ආදරෙයි.
",FALSE,4,4,3,11
G3_007,3,මගේ ආදරණීය සතුන්,"මගේ ආදරණීය සතුන් කියන්නේ මට ආදරය සහ සතුට ලබා දෙන සතුන් වෙති. මට ගෙවත්තේ බල්ලා සහ මාළු ඇත. බල්ලා සෙල්ලම් කරන අතර මට සැනසීම සහ ආරක්ෂාව ලබා දෙයි. මාළු පිළිසඳර නිරීක්ෂණය කිරීම මට සාමය සහ සතුට ලබා දෙයි. මම සතුන්ගේ ආහාරය, ජලය සහ වාතාවරණය සැලසීමේ වගකීම ගැන අවබෝධය දක්වමි. සතුන් මගේ ජීවිතයට සතුට, ආදරය සහ කුඩා ජිවිත අභියෝගයන් ඉගෙනීමට උපකාරී වේ. මම සතුන් සමඟ කාලය ගත කිරීමෙන් ආශිර්වාද සහ සැනසීම දැනෙයි. සතුන්ගේ සුහද ආචාර සහ ආදරය මට ආදර්ශයක් ලබා දෙයි. මගේ බල්ලා සහ මාළු මගේ දිනය සතුටින් පිරවීමේදී මට සතුට ලබා දෙයි. මම සතුන් ආරක්ෂා කිරීම සහ ආදරයෙන් සලසීම වැදගත් යැයි දන්නවා. සතුන් මට ජීවිතයේ සදාචාර, බලවත් සම්බන්ධතා සහ කාරුණික බව වර්ධනය කිරීමට උදව් කරනවා. මගේ ආදරණීය සතුන් මට සතුට, ආරක්ෂාව සහ ආදරය ලබා දෙන නිසා මම ඔවුන්ට ආදරයෙන් සහ වගකීමෙන් හැසිරෙමි. මගේ ජීවිතයේ සතුන්ගේ වැදගත්කම මට දැනෙන නිසා මම ඔවුන්ගේ සතුට, සෞඛ්‍යය සහ ආරක්ෂාව සඳහා කටයුතු කරනවා.",FALSE,4,5,3,12
G3_008,3,මගේ පරිසරය,"මගේ පරිසරය කියන්නේ මා වටා ඇති ස්වභාවික හා කෘතිම වටපිටාවයි. මම ජීවත් වන ගම අගනගරයක සිටින නිසා එහි වාසස්ථාන, ගස් මල් සහ පාරවල් දැකිය හැක. මාගේ පරිසරයේ වැදගත්ම කොටසක් වනුයේ ස්වභාවයයි. ගස් මල්, නද, හා ගඟවල් මට සුන්දර දසුනක් ලබා දෙයි. මම දිනපතා උදේ සහ සවස ගමනක් යාමෙන් මේවා දැකීමට හැකිවේ. මගේ පරිසරය පරිසර හිතකාමී ලෙස රැක ගැනීමට මම උත්සාහ කරනවා. අපි අපේ ගම්මැද ගස් වගා කිරීම, පරිසරය තුළ අපද්‍රව්‍ය නොහරින බව සහ අපගේ ජල සම්පත් ආරක්ෂා කිරීම වැදගත් ය. මෙය අපේ ජීවිතයටත්, සතුන්ටත් සහ අපේ සමාජයටත් යහපත් බලපෑම් ඇති කරයි. මාගේ පරිසරය යහපත් තත්ත්වයක ඇති විට මට ශාන්තිමත් හා සතුටින් ජීවත් විය හැක. මගේ මිතුරන් සහ පවුලේ අයද පරිසරය රැක ගැනීමට සූදානම් වෙති. අපි එක්ව කටයුතු කළහොත් අපේ පරිසරය තවත් හොඳ බවට පත්වේ. මම මගේ පරිසරය ගැන අධික ලෙස මනසින් අවබෝධ කරමි. එය මට සතුට, ආරක්ෂාව සහ ජීවිතයේ මූලික ආශ්වාද ලබා දෙයි. මගේ පරිසරය රැක ගැනීමේ වගකීම මාගේ ආදරයේ ප්‍රකාශයක් බවට පත්වේ.",FALSE,4,5,3,12
G4_001,4,Hene palaka rayak,"අපේ ලොකු මාමා මොනරාගල බුත්තල පදිංචිව සිටි.මෙවර නත්තල් නිවාඩුවට අපි බුත්තල ගියෙමු. අපේ ලොකු මාමාගේ ජීවනෝපාය ගොවිතැනයි. වී ගොවි තැනට අමතරව මාමා හේනක් ද වවයි.
මාමාගේ හේන මහ මුකලාන අද්දර පිහිටා ඇත. දඬු වැටින් වට වූ හේනේ පැළ ගසක් උඩ දෙබලක තනා ඇත. එයට ගොඩ වීමට ලණු ඉනිමගක්ද තනා ඇත. මගේ බලවත් පෙරැත්තය නිසා ලොකු මාමා දිනක මා හේනට කැටුව ගියේය. ඇදිරි වැටීගෙන එද්දි මම මාමාත් සමග හේනට ගියෙමි. ලණු ඉනිමග දිගේ අපි පැලට ගොඩ වුනෙමු.
පළමුවෙන් මාමා පැල අතු ගා පිරිසිදු කලේය. ඉන් අනතුරුව හකුළා බැඳ තිබු හෙවන් පැදුර දිග හැර මට වාඩිවීමට කීවේය. මාමා පහලින් දර කොට කැබලි කිහිපයක් ද පැලට ගෙනාවේය.
කළුවර වැටීගෙන එද්දි මාමා "" හරිකේන් ලාම්පු "" දල්වා පැලේ කෙළවර එල්ලා තැබුවේය. ඉන් පසු කෑලි තුනේ විදුලි පන්දමට බැටරි දමා සකස් කලේය. ගිණි මැලය දැල්වුයේ තරමක් රෑ බෝ වූ පසු මදුරු කන්කෙඳිරිය ඇසෙන විටය. නැන්දා හදා දුන් බත් මුල ලිහා ගෙන අපි අනුභව කලෙමු. දැන් හද අහසේ මෝදු වෙමින් පවතී. මාමා මා හට නිදිමත නම් නිදා ගන්නට කීවේය. එහෙත් නිදිමන අහලකවත් නොවූ මම හේන පිපිසිසාරා බලන්නට වුනෙමි. හේනේ යායේ අනෙක් හේන් වල දල්වා ඇති එළි මට පෙනේ. ඒව කළාමැදිරි එළි හා සමානය. අවට හේන්වල ගොවියෝ අඬහැර පාමින් පැල්කවි ගායනා කලහ. මාමා වහලේ සගවා තිබු බට නළාව ගෙන වාදනය කරන්නට විය. වස්දඬු රාවය හේන් යාය පුරා ප්රතිරාව නඟන්නට වූයේය.
මාමා හදිස්සියේම නැගිසිට විදුලි පන්දම හිසේ සවිකර ගත්තේය. අතට ගත් තුවක්කුව මාන ගෙන හේන වටා පිරික් සන්නට විය. "" අන්න පුතේ වල් ඌරෙක් හේනට රිංගන්න හදනවා "" මාමා ටෝච් එළියෙන් මට උරෙකු පෙන්නුවේය. "" දැන් මාමා උගට වෙඩි තියාවි "" යයි මට සිතුනත් මාමා රතිඤඤා කරලක් දල්වා ඒ ඉසව්වට විසික් කලේය. රෑ මැද මාමා කිරි ඉරිගු බිඳ පුළුස්සා කෑමට දුන්නේය. හෙනේ පැලේ ගෙවු රැය සදා අමතක නොවේ",FALSE,5,5,3,13
G4_002,4,ධර්මපාලතුමා,"විදේශිකයන්ට යටත්ව තිබු අපේ රට නිදහස් නිවහල් රාජයක් බවට පත් කර ගැනීමට වෙහෙස මහන්සි වූ උගත්තු රැසක් වෙති. ඉන් ධර්මපාලතුමාද ප්‍රමුඛ මෙහෙවරක් කල අයෙකි.ඩෙවිඩ් යනුවෙන් තම උප්පැන්නේ ලියා තිබු නම ධර්මපාල යනුවෙන් වෙනස් කර ගනිමින් අපේ බොදු හැකියාව හා දේශයේ උරුම වෙනුවෙන් පෙනි සිටියේය.
පරම විඥානර්ත සංගමයේ ක්‍රියාකාරිකයෙකු වූ එතුමා රට වටා ඇවිදමින් සිංහල බෞද්ධ ජනතාවට ආගම හා ජාතියේ වටිනාකම දේශනා කළේය.
අනාන්ද වැනි බෞද්ධ පාසල් අරම්භ කිරීමට එතුමා ගත් වෙහෙසට උපකාරයක් ලෙස ධර්මපාල නමින් විදුහල් රැසක් අපේ රටේ පවතී.
ඉන්දියාවේ මහා බෝධි සංගමය පිහිටුවා ගත් එතුමා බුදු රාජාණන් වැඩ සිටි තැන් ආරක්ෂා කිරීමට පියවර ගත්තේය. අවිවාහකව ජීවත් වූ එතුමා අනගාරික ධර්මපාල තුමා නමින් හඳුන් වනු ලැබීය. පසුව සිරි දේවමිත්ත නමින් පැවදිව සිට ඉන්දියාවේ බුද්ධගයාවෙදී උන්වහන්සේ අපවත් වූ සේක.
එතුමා වෙනුවෙන් සැම වසරකම දම්පල් දිනය සමරා ගුණ සමරු උත්සව අනුගාමිකයෝ පවත්වති.
",FALSE,4,4,3,11
